nombre;dpto;dpto_desc;distrito;dist_desc;codigo_institucion;?column?
744 NIÑOS M. DE ACOSTA ÑU;7;ITAPUA;7;CARMEN DEL PARANA;4915;-
6275 PA'I WILFRIDO RIVAS;6;CAAZAPA;7;SAN JUAN NEPOMUCENO;11388;-
6097 EL TRIUNFO;5;CAAGUAZU;7;REPATRIACION;10954;-
4848 VIRGEN DE FATIMA;7;ITAPUA;8;CORONEL BOGADO;10301;-
44 CAP.PEDRO JUAN CABALLERO;3;CORDILLERA;18;TOBATI;2647;-
SAN BENITO;6;CAAZAPA;1;CAAZAPA;15743;-
12557;10;ALTO PARANA;6;ITAKYRY;6993;-
SOR GRACIELA ESTIGARRIBIA;10;ALTO PARANA;1;CIUDAD DEL ESTE;10960;-
2-16;2;SAN PEDRO;3;CHORE;1422;-
759 MARIA DUNIS DE BOLF;7;ITAPUA;19;SAN COSME Y DAMIAN;5239;-
BIBLICO APOSTOLICO DEL PARAGUAY;11;CENTRAL;7;LAMBARE;15746;-
P-17;7;ITAPUA;1;ENCARNACION;4701;-
5818 (12382) AUGUSTO ROA BASTOS;16;BOQUERON;2;MARISCAL ESTIGARRIBIA;10086;-
SAN LORENZO MARTIR;1;CONCEPCION;3;HORQUETA;10985;-
4406 (13593) PROF. RAMON ARCE SOSA;10;ALTO PARANA;22;DR. RAUL PEÐA;7335;-
4398 (13262);10;ALTO PARANA;13;SANTA RITA;7283;-
COSTA ALEGRE;5;CAAGUAZU;1;CORONEL OVIEDO;3242;-
14095 AREA DE EDUCACION INTEGRAL AEI;11;CENTRAL;7;LAMBARE;7984;-
N.M.C.F.DE LA JUV. TRAB. YVY MARAE'Y;6;CAAZAPA;7;SAN JUAN NEPOMUCENO;15366;-
2003 SANTA LUCIA;10;ALTO PARANA;9;YGUAZU;7101;-
6950 JARDIN MATERNAL MI PEQUEÑO MUNDO;5;CAAGUAZU;2;CAAGUAZU;11701;-
MARIA AUXILIADORA;9;PARAGUARI;9;PIRAYU;6169;-
5712 (14585) PRIVADA ADVENTISTA;14;CANINDEYU;3;CURUGUATY;9531;-
946 HUMBERTO ZELADA BARRIOS;2;SAN PEDRO;1;SAN PEDRO DEL YKUAMANDIYU;1232;-
4880 PRIV. SUBV. STA CATALINA LABOURE;0;ASUNCION;0;ASUNCION;154;-
3623 SAN BLAS;2;SAN PEDRO;6;LIMA;1584;-
3334 (13284) SAN ROQUE G. DE SANTA CRUZ;2;SAN PEDRO;17;CAPIIBARY;3870;-
DEL SABER;11;CENTRAL;2;CAPIATA;8527;-
3250 NIÑOS MARTIRES DE ACOSTA ÑU;13;AMAMBAY;3;CAPITAN BADO;9272;-
5296 (10425);4;GUAIRA;5;FELIX PEREZ CARDOZO;2866;-
15215 SANTA TERESITA DEL NIÑO JESUS;3;CORDILLERA;1;CAACUPE;2327;-
6385 SAN FRANCISCO DE ASIS;9;PARAGUARI;1;PARAGUARI;11212;-
2809 JUAN JOSE A. ULLON;9;PARAGUARI;8;MBUYAPEY;6130;-
2266 MARTIREZ DE ACOSTA ÑU;2;SAN PEDRO;1;SAN PEDRO DEL YKUAMANDIYU;1273;-
